from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled
minakami,210,gunma,minakami,210,gunma,train,Minakami,Kamimoku,,,,JPRail 11342,上越線,True
minakami,210,gunma,minakami,210,gunma,train,Minakami,Yubiso,,,,JPRail 11342,上越線,True
minakami,210,gunma,minakami,210,gunma,train,Yubiso,Minakami,,,,JPRail 11342,上越線,True
minakami,210,gunma,minakami,210,gunma,train,Yubiso,Doai,,,,JPRail 11342,上越線,True
minakami,210,gunma,minakami,210,gunma,train,Doai,Yubiso,,,,JPRail 11342,上越線,True
minakami,210,gunma,yuzawa,215,niigata,train,Doai,Tsuchitaru,,,,JPRail 11342,上越線,True
yuzawa,215,niigata,minakami,210,gunma,train,Tsuchitaru,Doai,,,,JPRail 11342,上越線,True
yuzawa,215,niigata,yuzawa,215,niigata,train,Tsuchitaru,Echigo-Nakazato,,,,JPRail 11342,上越線,True
yuzawa,215,niigata,yuzawa,215,niigata,train,Echigo-Nakazato,Tsuchitaru,,,,JPRail 11342,上越線,True
yuzawa,215,niigata,yuzawa,215,niigata,train,Echigo-Nakazato,Iwappara-Skiing Ground,,,,JPRail 11342,上越線,True
yuzawa,215,niigata,yuzawa,215,niigata,train,Iwappara-Skiing Ground,Echigo-Nakazato,,,,JPRail 11342,上越線,True
yuzawa,215,niigata,yuzawa,215,niigata,train,Iwappara-Skiing Ground,Echigo-Yuzawa,,,,JPRail 11342,上越線,True
yuzawa,215,niigata,yuzawa,215,niigata,train,Echigo-Yuzawa,Iwappara-Skiing Ground,,,,JPRail 11342,上越線,True
yuzawa,215,niigata,minamiuonuma,215,niigata,train,Echigo-Yuzawa,Ishiuchi,,,,JPRail 11342,上越線,True
minamiuonuma,215,niigata,yuzawa,215,niigata,train,Ishiuchi,Echigo-Yuzawa,,,,JPRail 11342,上越線,True
minamiuonuma,215,niigata,minamiuonuma,215,niigata,train,Ishiuchi,Ōsawa,,,,JPRail 11342,上越線,True
minamiuonuma,215,niigata,minamiuonuma,215,niigata,train,Ōsawa,Ishiuchi,,,,JPRail 11342,上越線,True
minamiuonuma,215,niigata,minamiuonuma,215,niigata,train,Ōsawa,Jōetsu International Skiing Ground,,,,JPRail 11342,上越線,True
minamiuonuma,215,niigata,minamiuonuma,215,niigata,train,Jōetsu International Skiing Ground,Ōsawa,,,,JPRail 11342,上越線,True
minamiuonuma,215,niigata,minamiuonuma,215,niigata,train,Jōetsu International Skiing Ground,Shiozawa,,,,JPRail 11342,上越線,True
minamiuonuma,215,niigata,minamiuonuma,215,niigata,train,Shiozawa,Jōetsu International Skiing Ground,,,,JPRail 11342,上越線,True
minamiuonuma,215,niigata,minamiuonuma,215,niigata,train,Shiozawa,Urasa,,,,JPRail 11342,上越線,True
minamiuonuma,215,niigata,minamiuonuma,215,niigata,train,Urasa,Shiozawa,,,,JPRail 11342,上越線,True
minamiuonuma,215,niigata,uonuma,215,niigata,train,Urasa,Koide,,,,JPRail 11342,上越線,True
uonuma,215,niigata,minamiuonuma,215,niigata,train,Koide,Urasa,,,,JPRail 11342,上越線,True
uonuma,215,niigata,nagaoka,215,niigata,train,Koide,Echigo-Kawaguchi,,,,JPRail 11342,上越線,True
nagaoka,215,niigata,uonuma,215,niigata,train,Echigo-Kawaguchi,Koide,,,,JPRail 11342,上越線,True
nagaoka,215,niigata,ojiya,215,niigata,train,Echigo-Kawaguchi,Ojiya,,,,JPRail 11342,上越線,True
ojiya,215,niigata,nagaoka,215,niigata,train,Ojiya,Echigo-Kawaguchi,,,,JPRail 11342,上越線,True
