from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled,from_lat,from_lon,to_lat,to_lon
beijing,1001.0,beijing,jingdezhen,1013.0,jiangxi,flight,PEK,JDZ,140,,,1887,shenzhen airlines,True,,,,
beijing,1001.0,beijing,manzhouli,3002.0,inner mongolia,flight,PEK,NZH,170,,,7149,hainan airlines,True,,,,
beijing,1001.0,beijing,xining,3004.0,qinghai,flight,PEK,XNN,155,,,1261,shenzhen airlines,True,,,,
beijing,1001.0,beijing,zhangjiajie,1011.0,hunan,flight,PEK,DYG,160,,,1953,shenzhen airlines,True,,,,
beijing,1001.0,beijing,huangshan,1000.0,anhui,flight,PEK,TXN,140,,,5071,shandong airlines,True,,,,
beijing,1001.0,beijing,tongliao,3002.0,inner mongolia,flight,PEK,TGO,80,,,1123,shenzhen airlines,True,,,,
beijing,1001.0,beijing,linfen,1018.0,shanxi,flight,PEK,LFQ,90,,,4714,shenzhen airlines,True,,,,
beijing,1001.0,beijing,wuhai,3002.0,inner mongolia,flight,PEK,WUA,120,,,7617,hainan airlines,True,,,,
beijing,1001.0,beijing,dongying,1016.0,shandong,flight,PEK,DOY,80,,,7125,hainan airlines,True,,,,
beijing,1001.0,beijing,yulin,1018.0,shanxi,flight,PEK,UYN,90,,,7133,hainan airlines,True,,,,
beijing,1001.0,beijing,ezhou,1010.0,hubei,flight,PEK,EHU,120,,,7101,sf airlines,True,,,,
beijing,1001.0,beijing,taiyuan,1018.0,shanxi,flight,PEK,TYN,75,,,3900,air new zealand,True,,,,
beijing,1001.0,beijing,wanzhou,1002.0,chongqing,flight,PEK,WXN,160,,,5585,xiamen airlines,True,,,,
beijing,1001.0,beijing,xilinhot,3002.0,inner mongolia,flight,PEK,XIL,85,,,1109,shenzhen airlines,True,,,,
beijing,1001.0,beijing,ulanhot,3002.0,inner mongolia,flight,PEK,HLH,110,,,1135,shenzhen airlines,True,,,,
beijing,1001.0,beijing,yangzhou,1012.0,jiangsu,flight,PEK,YTY,105,,,5692,shandong airlines,True,,,,
beijing,1001.0,beijing,baotou,3002.0,inner mongolia,flight,PEK,BAV,105,,,1121,shenzhen airlines,True,,,,
beijing,1001.0,beijing,yichun,1013.0,jiangxi,flight,PEK,YIC,170,,,3412,air china ltd,True,,,,
beijing,1001.0,beijing,zhongwei,3003.0,ningxia,flight,PEK,ZHY,130,,,9016,china southern airlines,True,,,,
beijing,1001.0,beijing,jinghong,3006.0,yunnan,flight,PEK,JHG,250,,,1239,hong kong airlines,True,,,,
beijing,1001.0,beijing,xiangyang,1010.0,hubei,flight,PEK,XFN,130,,,3895,air china ltd,True,,,,
beijing,1001.0,beijing,nagoya,223.0,aichi,flight,PEK,NGO,235,,,5742,ana,True,,,,
