from_city,from_region_id,from_region_name,to_city,to_region_id,to_region_name,type,from_station,to_station,duration,distance,cost,route_id,route_name,enabled
Takikawa,201,Hokkaido,Moseushi,201,Hokkaido,train,Takikawa,Moseushi,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Moseushi,201,Hokkaido,Takikawa,201,Hokkaido,train,Moseushi,Takikawa,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Moseushi,201,Hokkaido,Fukagawa,201,Hokkaido,train,Moseushi,Fukagawa,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Fukagawa,201,Hokkaido,Moseushi,201,Hokkaido,train,Fukagawa,Moseushi,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Fukagawa,201,Hokkaido,Asahikawa,201,Hokkaido,train,Fukagawa,Asahikawa,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Asahikawa,201,Hokkaido,Fukagawa,201,Hokkaido,train,Asahikawa,Fukagawa,,,,JPRail 11103,JR函館本線(小樽～旭川),True
Tomakomai,201,Hokkaido,Chitose,201,Hokkaido,train,Tomakomai,Chitose,,,,JPRail 11109,千歳線,True
Chitose,201,Hokkaido,Tomakomai,201,Hokkaido,train,Chitose,Tomakomai,,,,JPRail 11109,千歳線,True
Chitose,201,Hokkaido,Eniwa,201,Hokkaido,train,Chitose,Eniwa,,,,JPRail 11109,千歳線,True
Eniwa,201,Hokkaido,Chitose,201,Hokkaido,train,Eniwa,Chitose,,,,JPRail 11109,千歳線,True
Eniwa,201,Hokkaido,Kitahiroshima,201,Hokkaido,train,Eniwa,Kita-Hiroshima,,,,JPRail 11109,千歳線,True
Kitahiroshima,201,Hokkaido,Eniwa,201,Hokkaido,train,Kita-Hiroshima,Eniwa,,,,JPRail 11109,千歳線,True
Kitahiroshima,201,Hokkaido,Sapporo,201,Hokkaido,train,Kita-Hiroshima,Sapporo,,,,JPRail 11109,千歳線,True
Sapporo,201,Hokkaido,Kitahiroshima,201,Hokkaido,train,Sapporo,Kita-Hiroshima,,,,JPRail 11109,千歳線,True
Sapporo,201,Hokkaido,Tobetsu,201,Hokkaido,train,Sapporo,Tōbetsu,,,,JPRail 11112,札沼線,True
Tobetsu,201,Hokkaido,Sapporo,201,Hokkaido,train,Tōbetsu,Sapporo,,,,JPRail 11112,札沼線,True
Tobetsu,201,Hokkaido,Tsukigata,201,Hokkaido,train,Tōbetsu,Ishikari-Tsukigata,,,,JPRail 11112,札沼線,True
Tsukigata,201,Hokkaido,Tobetsu,201,Hokkaido,train,Ishikari-Tsukigata,Tōbetsu,,,,JPRail 11112,札沼線,True
Tsukigata,201,Hokkaido,Urausu,201,Hokkaido,train,Ishikari-Tsukigata,Urausu,,,,JPRail 11112,札沼線,True
Urausu,201,Hokkaido,Tsukigata,201,Hokkaido,train,Urausu,Ishikari-Tsukigata,,,,JPRail 11112,札沼線,True
Urausu,201,Hokkaido,Shintotsukawa,201,Hokkaido,train,Urausu,Shin-Totsukawa,,,,JPRail 11112,札沼線,True
Shintotsukawa,201,Hokkaido,Urausu,201,Hokkaido,train,Shin-Totsukawa,Urausu,,,,JPRail 11112,札沼線,True
Tomakomai,201,Hokkaido,Abira,201,Hokkaido,train,Tomakomai,Abira,,,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True
Abira,201,Hokkaido,Tomakomai,201,Hokkaido,train,Abira,Tomakomai,,,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True
Abira,201,Hokkaido,Yuni,201,Hokkaido,train,Abira,Yuni,,,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True
Yuni,201,Hokkaido,Abira,201,Hokkaido,train,Yuni,Abira,,,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True
Yuni,201,Hokkaido,Kuriyama,201,Hokkaido,train,Yuni,Kuriyama,,,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True
Kuriyama,201,Hokkaido,Yuni,201,Hokkaido,train,Kuriyama,Yuni,,,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True
Kuriyama,201,Hokkaido,Iwamizawa,201,Hokkaido,train,Kuriyama,Iwamizawa,,,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True
Iwamizawa,201,Hokkaido,Kuriyama,201,Hokkaido,train,Iwamizawa,Kuriyama,,,,JPRail 11105,JR室蘭本線(苫小牧～岩見沢),True
Takikawa,201,Hokkaido,Akabira,201,Hokkaido,train,Takikawa,Akabira,,,,JPRail 11106,JR根室本線(滝川～新得),True
Akabira,201,Hokkaido,Takikawa,201,Hokkaido,train,Akabira,Takikawa,,,,JPRail 11106,JR根室本線(滝川～新得),True
Akabira,201,Hokkaido,Ashibetsu,201,Hokkaido,train,Akabira,Ashibetsu,,,,JPRail 11106,JR根室本線(滝川～新得),True
Ashibetsu,201,Hokkaido,Akabira,201,Hokkaido,train,Ashibetsu,Akabira,,,,JPRail 11106,JR根室本線(滝川～新得),True
Ashibetsu,201,Hokkaido,Furano,201,Hokkaido,train,Ashibetsu,Furano,,,,JPRail 11106,JR根室本線(滝川～新得),True
Furano,201,Hokkaido,Ashibetsu,201,Hokkaido,train,Furano,Ashibetsu,,,,JPRail 11106,JR根室本線(滝川～新得),True
Furano,201,Hokkaido,Minamifurano,201,Hokkaido,train,Furano,Shimo-Kanayama,,,,JPRail 11106,JR根室本線(滝川～新得),True
